community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
瀚锦苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲六期,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
万科兰乔圣菲(北区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤鸣新苑一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
盛世天地,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
恒大华城天地苑(三期),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
长泰东郊御园,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
西郊河畔家园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
馨乐园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
华润置地观宸润府,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
金硕河畔景园(南区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
